idProductos,Cantidad,Fecha_Venta,idCliente,Despacho
28,2,2024-09-24,477,N
29,3,2024-09-20,781,N
30,10,2024-09-18,606,N
31,7,2024-09-29,432,N
32,1,2024-09-28,180,N
33,8,2024-09-19,736,N
34,6,2024-09-28,30,N
35,10,2024-09-23,480,N
36,1,2024-09-16,578,N
37,11,2024-09-26,315,N
38,9,2024-09-16,564,N
39,10,2024-09-20,662,N
40,4,2024-09-19,758,N
41,6,2024-09-26,766,N
42,1,2024-09-29,859,N
43,3,2024-09-19,90,N
44,2,2024-09-26,915,N
45,10,2024-09-23,821,N
46,8,2024-09-29,996,N
47,11,2024-09-20,580,N
48,10,2024-09-21,501,N
49,7,2024-09-20,447,N
50,3,2024-09-19,252,N
51,10,2024-09-19,40,N
52,11,2024-09-20,375,N
53,11,2024-09-22,949,N
54,2,2024-09-21,816,N
55,3,2024-09-20,695,N
56,5,2024-09-27,535,N
57,2,2024-09-28,78,N
